Title;Description;Price ($);Tags;Category;Count;Satellite
PlayStation 5 Console;Experience an all-new generation of incredible PlayStation games.;1200;Console, Gaming, Home;PlayStation;120;Moscow
PlayStation 4 PRO Console;Digital Edition console with a vibrant array of new colour options.;950;Console, Gaming, Home;PlayStation;56;Moscow
GoPro HERO 10 Black;A professional film studio in the palm of your hand.;550;Action, Video;Camera;15;Moscow
GoPro MAX;A professional film studio in the palm of your hand.;550;Action, Video;Camera;95;Moscow
Sony A7 |||;Professional SLR Camera.;2900;Photo;Camera;24;Moscow
Apple Iphone 12 128gb;Iphone with large screen.;699;Phone, Camera;Phone;60;Moscow
Apple Iphone 13 mini 128;New iphone mini in a new color scheme.;699	Phone, Camera;Phone;29;Moscow
Apple iphone 13 Pro Max 128;New iphone in a new color scheme and Lidar camera.;1099;Phone, Camera;Phone;13;Moscow
HUAWEI MateBook 14 KLVL-W56W 16+512GB Space Grey;Slim and light laptop.;1049;Laptop, Graphic;Laptop;38;Moscow
Lenovo Legion 5 15ACH6A;Slim and powerful laptop for gaming.;1949;Laptop, Gaming, Home;Laptop;9;Saint Petersburg
GoPro HERO 10 Black;A professional film studio in the palm of your hand.;550;Action, Video;Camera;15;Saint Petersburg
GoPro MAX;A professional film studio in the palm of your hand.;550;Action, Video;Camera;95;Saint Petersburg
Sony A7 |||;Professional SLR Camera.;2900;Photo;Camera;24;Saint Petersburg
Apple Iphone 12 128gb;Iphone with large screen.;699;Phone, Camera;Phone;60;Saint Petersburg
Apple Iphone 13 mini 128;New iphone mini in a new color scheme.;699;Phone, Camera;Phone;29;Saint Petersburg
